Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from ""Ich habe genug,"" BWV 82",Johann Sebastian Bach,Ich habe genug BWV 82 excerpt,1 minute 1 second,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC started high and slightly declined across repeats.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact rejection, Robust PCA",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Time-locked to music onset,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,Minuet from Anna Magdalena Notebook,Johann Sebastian Bach,Minuet from Anna Magdalena Notebook,55 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC moderately decreased over repetitions for Minuet.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact removal, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus onset per repeat,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Brandenburg Concerto No. 3, BWV 1048",Johann Sebastian Bach,Brandenburg Concerto No. 3 excerpt,1 minute 3 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC sustained at relatively high levels across repeats.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Music excerpt onset markers,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Cello Suite No. 1 in G Major, BWV 1007",Johann Sebastian Bach,Cello Suite No. 1 G Major excerpt,1 minute 7 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC gradually decreased with familiarity over repetitions.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact correction, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Beat-locked to stimulus onset,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,Fugue from Well-Tempered Clavier Book 1 in C Major,Johann Sebastian Bach,Fugue in C Major WTC Book 1,1 minute 8 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,High ISC initially; declined slightly by last repetition.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact rejection, Robust PCA",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus-aligned trigger markers,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Brandenburg Concerto No. 5, BWV 1050",Johann Sebastian Bach,Brandenburg Concerto No. 5 excerpt,1 minute 7 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC initially high and stable; slight decline by final repeat.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact rejection, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Music excerpt onset aligned,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Well-Tempered Clavier Book 2 in C Minor, BWV 871",Johann Sebastian Bach,Fugue in C Minor WTC Book 2,1 minute 1 second,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC consistently high across all presentations.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact removal, PCA",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus markers per excerpt,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Piano Sonata No. 11, K. 331 (1st Movement excerpt)",Wolfgang Amadeus Mozart,Piano Sonata No. 11 K. 331 excerpt,1 minute 2 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,"ISC moderate, slightly decreasing with repeats.",1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact cleaning, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Event-locked to music start,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Mass in B Minor, BWV 232 (Gloria)",Johann Sebastian Bach,Mass in B Minor Gloria excerpt,1 minute 1 second,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC stable and strong even across multiple repetitions.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Onset-aligned,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Excerpt from Harpsichord Concerto No. 5, BWV 1056",Johann Sebastian Bach,Harpsichord Concerto No. 5 excerpt,1 minute 5 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC declined slightly but remained robust by last repeat.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact rejection, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus-aligned,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Piano Sonata in F Major, K. 280 (1st Movement excerpt)",Wolfgang Amadeus Mozart,Piano Sonata in F Major K. 280 excerpt,1 minute 0 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC dropped more quickly across repeats than other excerpts.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact removal, Filtering",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Music onset markers,Scientific Reports 9:3576
Cortical encoding of melodic expectations in human temporal cortex,"Di Liberto, Pelofi, Bianco, Patel, Mehta, Herrero, de Cheveigné, Shamma, Mesgarani",2020,https://doi.org/10.5061/dryad.g1jwstqmh,https://doi.org/10.5061/dryad.g1jwstqmh,Examines how melodic expectations are encoded in low-rate cortical EEG responses using monophonic instrumental music. Naturalistic listening with computational modeling of melodic surprise and entropy.,Controlled,Musical Excerpt,10 monophonic Bach excerpts synthesized as piano MIDI from violin and flute partitas,J.S. Bach,"BWV 1001, 1002, 1004, 1006; BWV 1013",~150 seconds per excerpt,"Melodic surprise, melodic entropy, envelope tracking",Passive listening; subjects fixated visually while listening to 30 trials (10 excerpts × 3 repetitions),20,"Healthy adults (10 musicians with formal training, 10 non-musicians), ages 23–42",Mixed groups,BioSemi ActiveTwo,64 channels,EEG responses reflected encoding of melodic expectations; musicians had stronger prediction correlations; TRF amplitudes were modulated by melodic surprise,512 Hz,Sound-attenuated room,Analog EEG traces,1–8 Hz Butterworth filter; downsampled to 64 Hz; bad channels interpolated; mastoid average referencing,Open Access (Dryad),mTRF; ERP analysis; linear regression,Permutation tests; ANOVA; FDR correction,Note onsets aligned; trials repeated 3×,eLife
